Country,Rank1011,Change11,Rank1112,Change12,Rank1213,Change13,Rank1314,Change14,Rank1415,Change15,Rank1516,Change16,Rank1617,Change17,Rank1718,Change18,Rank1819,Change19,Rank1920,Change20,Rank2021
Argentina,B3,0,B3,0,B3,0,B3,-5,Caa1,0,Caa1,5,B3,-1,B2,0,B2,-3,Caa2,-2,Ca
Armenia,Ba2,0,Ba2,0,Ba2,0,Ba2,0,Ba2,1,Ba3,-5,B1,0,B1,0,B1,5,Ba3,0,Ba3
Azerbaijan,Ba1,0,Ba1,5,Baa3,0,Baa3,0,Baa3,0,Baa3,-5,Ba1,1,Ba2,0,Ba2,0,Ba2,0,Ba2
Bahrain,A3,-5,Baa1,0,Baa1,1,Baa2,0,Baa2,1,Baa3,-4,Ba2,-4,B1,1,B2,0,B2,0,B2
Belarus,B1,2,B3,0,B3,0,B3,0,B3,-5,Caa1,0,Caa1,0,Caa1,5,B3,0,B3,0,B3
Bolivia,B1,0,B1,5,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,-4,B2
Brazil,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,1,Baa3,-4,Ba2,0,Ba2,0,Ba2,0,Ba2,0,Ba2
Bulgaria,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,-1,Baa1
Chile,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,-5,A1,0,A1,0,A1
China,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,0,Aa3,-5,A1,0,A1,0,A1,0,A1
Colombia,Ba1,0,Baa3,0,Baa3,0,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2
Costa Rica,Baa3,0,Baa3,0,Baa3,0,Baa3,-5,Ba1,0,Ba1,0,Ba1,1,Ba2,-4,B1,0,B1,1,B2
Croatia,Baa3,0,Baa3,0,Baa3,-5,Ba1,0,Ba1,0,Ba1,1,Ba2,0,Ba2,0,Ba2,0,Ba2,-1,Ba1
Cyprus,Aa3,-3,Baa3,-6,B3,-3,Caa3,3,B3,-2,B1,0,B1,5,Ba3,-1,Ba2,0,Ba2,0,Ba2
Czech,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,5,Aa3,0,Aa3
Ecuador,Caa3,-1,Caa2,-1,Caa1,0,Caa1,5,B3,0,B3,0,B3,0,B3,0,B3,0,B3,-3,Caa3
Salvador,Ba1,1,Ba2,1,Ba3,0,Ba3,0,Ba3,0,Ba3,-3,B3,-5,Caa1,5,B3,0,B3,0,B3
Georgia,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,-1,Ba2,0,Ba2,0,Ba2,0,Ba2
Greece,Ba1,-4,Ca,-1,C,4,Caa3,-2,Caa1,2,Caa3,0,Caa3,-1,Caa2,4,B3,-2,B1,5,Ba3
Guatemala,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1
Honduras,B2,0,B2,0,B2,0,B2,1,B3,0,B3,-1,B2,-1,B1,0,B1,0,B1,0,B1
Hungary,Baa3,-5,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,5,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3
Iceland,Baa3,0,Baa3,0,Baa3,0,Baa3,-1,Baa2,0,Baa2,4,A3,0,A3,0,A3,-1,A2,0,A2
Ireland,Baa1,-3,Ba1,0,Ba1,0,Ba1,3,Baa1,0,Baa1,5,A3,-1,A2,0,A2,0,A2,0,A2
Israel,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1,0,A1
Italy,Aa2,-3,A2,-3,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,1,Baa3,0,Baa3,0,Baa3
Jamaica,B3,0,B3,0,B3,-3,Caa3,0,Caa3,-1,Caa2,4,B3,0,B3,0,B3,0,B2,0,B2
Kazakhstan,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,1,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3
Latvia,Baa3,0,Baa3,0,Baa3,-1,Baa2,-1,Baa1,5,A3,0,A3,0,A3,0,A3,0,A3,0,A3
Lithuania,Baa1,0,Baa1,0,Baa1,0,Baa1,0,Baa1,5,A3,0,A3,0,A3,0,A3,0,A3,0,A3
Malta,A1,1,A2,1,A3,0,A3,0,A3,0,A3,0,A3,0,A3,0,A3,-1,A2,0,A2
Mexico,Baa1,0,Baa1,0,Baa1,0,Baa1,5,A3,0,A3,0,A3,0,A3,0,A3,0,A3,-5,Baa1
Montenegro,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,0,Ba3,-5,B1,0,B1,0,B1,0,B1,0,B1
Panama,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,-1,Baa1,0,Baa1
Paraguay,B1,0,B1,0,B1,5,Ba3,-1,Ba2,-1,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1,0,Ba1
Peru,Baa3,0,Baa3,-1,Baa2,0,Baa2,4,A3,0,A3,0,A3,0,A3,0,A3,0,A3,0,A3
Poland,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2
Portugal,A1,-5,Ba2,1,Ba3,0,Ba3,-2,Ba1,0,Ba1,0,Ba1,0,Ba1,5,Baa3,0,Baa3,0,Baa3
Romania,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3,0,Baa3
Russia,Baa1,0,Baa1,0,Baa1,0,Baa1,1,Baa2,-4,Ba1,0,Ba1,0,Ba1,0,Ba1,5,Baa3,0,Baa3
Serbia,,,,,,,B1,0,B1,0,B1,0,B1,5,Ba3,0,Ba3,0,Ba3,0,Ba3
Slovakia,A1,0,A1,1,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2,0,A2
Slovenia,Aa2,-4,A1,-2,Baa2,-4,Ba1,0,Ba1,5,Baa3,0,Baa3,-2,Baa1,0,Baa1,0,Baa1,5,A3
Spain,Aa1,-3,A1,-1,Baa3,0,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,-1,Baa1,0,Baa1,0,Baa1
Trinidad,Baa1,0,Baa1,0,Baa1,0,Baa1,0,Baa1,1,Baa2,1,Baa3,-5,Ba1,0,Ba1,0,Ba1,0,Ba1
Turkey,Ba2,0,Ba2,-1,Ba1,5,Baa3,0,Baa3,0,Baa3,-5,Ba1,0,Ba1,2,Ba3,-5,B1,1,B2
Ukraine,B2,0,B2,1,B3,-5,Caa1,2,Caa3,-4,Caa3,0,Caa3,-1,Caa2,-1,Caa1,0,Caa1,5,B3
Uruguay,Ba1,0,Ba1,5,Baa3,0,Baa3,-1,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2,0,Baa2
Venezuela,B2,0,B2,0,B2,-4,Caa1,0,Caa1,2,Caa3,0,Caa3,0,Caa3,-4,C,0,C,0,C
